"","screenName","location","latitude","longitude","state"
"454","Alice_Gines","Maryland",39.0457549,-76.6412712,"Maryland"
"455","summedupcanada","Ontario, CA",34.0633443,-117.6508876,"California"
"456","Jsmithjax","Florida ",27.6648274,-81.5157535,"Florida"
"457","amanda_pompili","Pawtucket, RI",41.878711,-71.3825558,"Rhode Island"
"459","sugoistudies","Indianapolis, IN",39.768403,-86.158068,"Indiana"
"461","LucyMayCincy","Cincinnati,Ohio",39.1031182,-84.5120196,"Ohio"
"462","AmeshAA","Pittsburgh, Baltimore, NYC",40.7127753,-74.0059728,"New York"
"466","rob_belcher","Seattle, WA",47.6062095,-122.3320708,"Washington"
"472","FarmFairyCrafts","Oregon, USA",43.8041334,-120.5542012,"Oregon"
"473","WCCrannell","Portland, OR",45.5122308,-122.6587185,"Oregon"
"474","IrishI68","Fallon, Nevada",39.4748693,-118.7770407,"Nevada"
"475","erictleung","Portland, OR",45.5122308,-122.6587185,"Oregon"
"477","MasonACobb","North Carolina",35.7595731,-79.0192997,"North Carolina"
"480","EcoTopicalNews","Planet Earth",41.909611,-87.771964,"Illinois"
"481","edwartica","Portland, Oregon",45.5122308,-122.6587185,"Oregon"
"485","kimberlyjrb","Valrico, Florida",27.9462615,-82.2420317,"Florida"
"487","WWT_Watchmen","Flat Earth",37.6985324,-97.441091,"Kansas"
"488","zoomberiq","Pennsylvania, USA",41.2033216,-77.1945247,"Pennsylvania"
"489","CNHealthyNation","Cherokee Nation",36.7433229,-95.98991,"Oklahoma"
"490","POLITICOPro","Arlington, Va.",38.8816208,-77.0909809,"Virginia"
"492","BonnieO54284341","Philadelphia, PA",39.9525839,-75.1652215,"Pennsylvania"
"493","thiafinart","Pioneer, CA",38.4318551,-120.5718719,"California"
"494","QUnitedWeStand2","Spokane, WA",47.6587802,-117.4260465,"Washington"
"495","TigressLilly1","Outer Space",41.3535161,-72.9254428,"Connecticut"
"496","NicklausXOXO","Earth",37.2321077,-95.7243335,"Kansas"
"497","tracyhutchsgt","United States, Earth",34.2331373,-102.4107493,"Texas"
"498","DuvalJodi","Seattle, beautiful Puget Sound",47.7189674,-122.2946304,"Washington"
"499","crob1611","Swain NY",42.4778443,-77.8533322,"New York"
"500","iXeno","SF Bay Area",37.8271784,-122.2913078,"California"
"501","KellyAnnSpencer","Inland Empire",34.9592083,-116.419389,"California"
"502","rl93930","California, USA",36.778261,-119.4179324,"California"
"505","JP1958S","New Jersey, USA",40.0583238,-74.4056612,"New Jersey"
"506","klovephx","Phoenix, AZ",33.4483771,-112.0740373,"Arizona"
"507","wrair","Silver Spring, Maryland",38.9906657,-77.026088,"Maryland"
"509","gramakav","Idaho, USA",44.0682019,-114.7420408,"Idaho"
"511","IamOneFitBody","NYC",40.7127753,-74.0059728,"New York"
"513","MRogersWrites","Waynesville, NC",35.4887145,-82.9887477,"North Carolina"
"514","drea_aguilar7","Des Moines, IA",41.5868353,-93.6249593,"Iowa"
"515","ABC5FOX9","Yuma, AZ",32.6926512,-114.6276916,"Arizona"
"516","lippard","Phoenix",33.4483771,-112.0740373,"Arizona"
"517","13OnYourSide","Yuma, AZ/El Centro, CA",32.6926512,-114.6276916,"Arizona"
"518","KYMA11","Yuma, Arizona ",32.6926512,-114.6276916,"Arizona"
"520","AmberOwens18","Manvel, Texas USA",29.4627365,-95.357994,"Texas"
"523","WYMT","Hazard, KY",37.24954,-83.1932284,"Kentucky"
"526","riconfidential","Richmond, CA",37.9357576,-122.3477486,"California"
"527","Immunize_USA","Houston, TX",29.7604267,-95.3698028,"Texas"
"528","HelenGLovesTea","Colorado, USA",39.5500507,-105.7820674,"Colorado"
"529","allentien","Baltimore, <U+5730><U+7403>, Cape Breton      P(A|B)=P(B|A)P(A)/P(B)",39.2903848,-76.6121893,"Maryland"
"530","kittypurrzog","Seattle, WA",47.6062095,-122.3320708,"Washington"
"531","BSelander","Philadelphia, PA",39.9525839,-75.1652215,"Pennsylvania"
"532","PplOverPolitics","Everywhere",33.7589188,-84.3640829,"Georgia"
"533","DePaulLaw","Chicago, Illinois",41.8781136,-87.6297982,"Illinois"
"537","BatesWellness","Plano, TX",33.0198431,-96.6988856,"Texas"
"539","AntoinetteZim13","Texas, USA",31.9685988,-99.9018131,"Texas"
"543","JimW_in_NM","SOUTHWEST",36.1908813,-95.8897448,"Oklahoma"
"545","CarissaBonham","Hillsboro, OR",45.5200114,-122.9365835,"Oregon"
"546","AustraliaUNDPR","New York, NY",40.7127753,-74.0059728,"New York"
"547","usmade100","South Carolina, USA",33.836081,-81.1637245,"South Carolina"
"548","LynCamWil","Tucson, Arizona",32.2226066,-110.9747108,"Arizona"
"549","slapthisbutt","Earth",37.2321077,-95.7243335,"Kansas"
"550","GigiBowman","Port St Lucie, FL",27.2730492,-80.3582261,"Florida"
"551","MPRnews","Minnesota",46.729553,-94.6858998,"Minnesota"
"552","marieAn72486017","Louisiana, USA",30.9842977,-91.9623327,"Louisiana"
"553","epochchanger","California, USA",36.778261,-119.4179324,"California"
"555","26point2FoCo","Colorado, USA",39.5500507,-105.7820674,"Colorado"
"556","healthydriven","Naperville and Elmhurst",41.8994744,-87.9403418,"Illinois"
"557","panoramateam","Seattle, WA",47.6062095,-122.3320708,"Washington"
"558","painefultruths","Madison, WI",43.0730517,-89.4012302,"Wisconsin"
"561","sbuchbinder","Baltimore, MD",39.2903848,-76.6121893,"Maryland"
"562","blue_yarn","Illinois, USA",40.6331249,-89.3985283,"Illinois"
"563","Vemdezapcaralho","Andromeda",35.3865696,-97.413589,"Oklahoma"
"564","dominiquearossi","Portland, Ore. ",45.5122308,-122.6587185,"Oregon"
