"","screenName","location","latitude","longitude"
"2107","S1_AVZ","The Netherlands",52.132633,5.291266
"2108","m__celinaa","Los Angeles, CA",34.0522342,-118.2436849
"2109","deviIsadist","<U+0001D453><U+0001D459><U+0001D45F><U+0001D45D>. ¹8<U+207A>",NA,NA
"2110","avimpera","Moscow, Russia",55.755826,37.6172999
"2111","vixxsin_","Order Of The Imperial Moon",NA,NA
"2112","adamssegun12","Earth, Milky Ways",NA,NA
"2113","Aledezmadh","TX",31.9685988,-99.9018131
"2114","AngelaInGeneral","Manitoba, Canada",53.7608608,-98.8138762
"2115","fayeejones_","North Wales",53.0711149,-3.8080783
"2116","PardonMyPretty_","Charlotte, NC",35.2270869,-80.8431267
"2117","_BlueZeru","Bilbao, Spain",43.2630126,-2.9349852
"2118","teerawx_","Houston, TX",29.7604267,-95.3698028
"2119","Liizzie18","Magnolia, AR",33.2670725,-93.239334
